node,node_label
194,"{'type': 'thread', 'name': 'I would like to know why I got passed by'}"
51,"{'type': 'thread', 'name': ""Hey, I'm having this error when I try to""}"
377,"{'type': 'thread', 'name': 'Upload to GitHub'}"
220,"{'type': 'thread', 'name': ""What's the issue here?  It looks exactly""}"
195,"{'type': 'thread', 'name': 'I have the same problem with submitting'}"
52,"{'type': 'thread', 'name': 'Are we supposed to make the Datalog'}"
53,"{'type': 'thread', 'name': 'Thread'}"
168,"{'type': 'thread', 'name': 'Is anyone else having trouble reading'}"
221,"{'type': 'thread', 'name': 'Try using extend instead of append on'}"
436,"{'type': 'thread', 'name': 'So another question for anyone who is'}"
339,"{'type': 'thread', 'name': 'domain'}"
259,"{'type': 'thread', 'name': 'Predicate to_string()'}"
260,"{'type': 'thread', 'name': 'Your lexer in project 1 printed out the'}"
378,"{'type': 'thread', 'name': 'could someone who finished check my'}"
222,"{'type': 'thread', 'name': 'My code works for all of the input files'}"
396,"{'type': 'thread', 'name': 'Tuple problems'}"
397,"{'type': 'thread', 'name': 'Errors when returning token list from lexer'}"
398,"{'type': 'thread', 'name': 'Project 2 output'}"
274,"{'type': 'thread', 'name': 'what exactly is a parameter object As'}"
282,"{'type': 'thread', 'name': 'Is there a TA that would be able to'}"
261,"{'type': 'thread', 'name': 'what is the datalog program part'}"
444,"{'type': 'thread', 'name': 'For some reason'}"
223,"{'type': 'thread', 'name': 'is anyone else having issues with their'}"
439,"{'type': 'thread', 'name': 'Solution to GitHub failing both buckets but your loca machine suceeding both buckets.'}"
399,"{'type': 'thread', 'name': 'parse_datalog function'}"
54,"{'type': 'thread', 'name': 'Bucket 80 test 4'}"
379,"{'type': 'thread', 'name': 'I m trying to delete the COMMENT tokens'}"
55,"{'type': 'thread', 'name': 'You need to skip the comment tokens in'}"
361,"{'type': 'thread', 'name': 'How do we submit this lab There aren t'}"
445,"{'type': 'thread', 'name': 'First and Follow Sets'}"
177,"{'type': 'thread', 'name': 'What do we put in the paramater class Is'}"
340,"{'type': 'thread', 'name': 'If you copy over the files you don’t'}"
224,"{'type': 'thread', 'name': 'When you have a production with many'}"
56,"{'type': 'thread', 'name': 'Did Dr Goodrich say after what class'}"
57,"{'type': 'thread', 'name': 'Review or overview'}"
298,"{'type': 'channel', 'name': 'tutorials'}"
299,"{'type': 'thread', 'name': 'Quick Jupyter Notebook Tutorial'}"
300,"{'type': 'thread', 'name': 'A list of what tutorials are done'}"
528,"{'type': 'thread', 'name': 'Project 5 Help Video'}"
301,"{'type': 'thread', 'name': 'VS Code Tutorial'}"
302,"{'type': 'thread', 'name': 'Project 0 Walkthrough'}"
58,"{'type': 'channel', 'name': 'project-3'}"
401,"{'type': 'thread', 'name': 'Query a relation for only strings'}"
67,"{'type': 'thread', 'name': 'Formally, it should return a new'}"
402,"{'type': 'thread', 'name': 'Running code on input files'}"
403,"{'type': 'thread', 'name': 'input2'}"
227,"{'type': 'thread', 'name': 'Does anyone know how to debug the test'}"
380,"{'type': 'thread', 'name': 'Sorted'}"
404,"{'type': 'thread', 'name': 'TA video stuff'}"
68,"{'type': 'thread', 'name': 'How to interpret the test demo code'}"
69,"{'type': 'thread', 'name': 'bucket80 test 0'}"
405,"{'type': 'thread', 'name': 'Currently getting an error when I try to'}"
406,"{'type': 'thread', 'name': 'for input2/answer2, why are there only 3'}"
407,"{'type': 'thread', 'name': 'im getting an odd error when trying to'}"
408,"{'type': 'thread', 'name': 'Constants vs Variables'}"
228,"{'type': 'thread', 'name': 'when I do that, it says pytest is not'}"
262,"{'type': 'thread', 'name': 'Error in test.py'}"
409,"{'type': 'thread', 'name': 'Relation.to_string()'}"
250,"{'type': 'thread', 'name': 'Somehow Project 3 broke my lexer even'}"
70,"{'type': 'thread', 'name': 'Pytest'}"
196,"{'type': 'thread', 'name': 'Thread'}"
71,"{'type': 'thread', 'name': 'Project 2 datatypes'}"
72,"{'type': 'thread', 'name': 'could someone help be with the Idea of'}"
381,"{'type': 'thread', 'name': 'Datalog program constructor'}"
382,"{'type': 'thread', 'name': 'Tabulate Error on Github'}"
410,"{'type': 'thread', 'name': 'Raising unequal header length error'}"
73,"{'type': 'thread', 'name': 'Project 2 problems'}"
229,"{'type': 'thread', 'name': 'Has anyone had trouble getting the tests'}"
74,"{'type': 'thread', 'name': 'Copy of relation - from Walter in the TA'}"
248,"{'type': 'thread', 'name': 'I changed the hash and equals functions'}"
501,"{'type': 'thread', 'name': ""I'm getting these errors on both buckets""}"
411,"{'type': 'thread', 'name': 'How to rename the new relations'}"
412,"{'type': 'thread', 'name': 'Difference between selects'}"
75,"{'type': 'thread', 'name': 'test cases'}"
230,"{'type': 'thread', 'name': 'Submission'}"
197,"{'type': 'thread', 'name': ""Going off of the Walter's zoom video,""}"
76,"{'type': 'thread', 'name': 'Up to you on that, I recommend a map to'}"
198,"{'type': 'thread', 'name': '@everyone'}"
231,"{'type': 'thread', 'name': 'GitHub'}"
232,"{'type': 'thread', 'name': 'Are we allowed to use premade packages'}"
233,"{'type': 'thread', 'name': 'Relation'}"
263,"{'type': 'thread', 'name': 'why would it say that the str doesnt'}"
77,"{'type': 'thread', 'name': 'Project with empty list'}"
341,"{'type': 'thread', 'name': 'I thought we had to pass in input from'}"
178,"{'type': 'thread', 'name': 'Do we need a database class in the'}"
517,"{'type': 'thread', 'name': 'How late is the ta office open today?'}"
78,"{'type': 'channel', 'name': 'project-4'}"
490,"{'type': 'thread', 'name': ""I just wanted to make sure I'm on the""}"
85,"{'type': 'thread', 'name': 'It prints them using the header from the'}"
413,"{'type': 'thread', 'name': 'Any tips for printing out the tuples'}"
529,"{'type': 'thread', 'name': 'help on the joinrows function'}"
86,"{'type': 'thread', 'name': 'Code optimization'}"
87,"{'type': 'thread', 'name': 'Tuple printing'}"
414,"{'type': 'thread', 'name': 'Quick question-- one of the steps calls'}"
415,"{'type': 'thread', 'name': 'In the demo code, one of the parameters'}"
199,"{'type': 'thread', 'name': ""I'm trying to connect my evaluate_rule""}"
440,"{'type': 'person', 'role': 'Student'}"
383,"{'type': 'thread', 'name': 'Has anyone else run into a problem where'}"
200,"{'type': 'thread', 'name': 'you mean writing the union function?'}"
201,"{'type': 'thread', 'name': 'What are the pytest commands again? ('}"
202,"{'type': 'thread', 'name': 'whenever i forget i just search messages'}"
264,"{'type': 'thread', 'name': 'Has anyone else had trouble getting'}"
234,"{'type': 'thread', 'name': 'Hey guys. I went through the prep video'}"
384,"{'type': 'thread', 'name': 'how do we grab the rules on the right'}"
